code,name,qty
V020,دواء حشرات,0
73091020622 ,بخاخ حشرات للقطط,6
8414580000862 ,مين فور سان بخاخ للحشرات للقطط (250 مل ),5
8711908133104 ,مكافآت للكلاب 250 غرام,3
8711908233002 ,مكافآت للكلاب 250 غرام,3
V023,كونفينيا,16
V013,رافع مناعة,0
V018,قطرة لتنظيف الأذن,34
M015,مرهم عيون,39
5909997007625 ,معجون للاصابات المعوية,0
D5,الفحص الكيميائي للدم,9
M006,ORIDERMYL -M006,0
5906485672600 ,حبوب مكمل غذائي,24
V021,مرهم مضاد التهاب 20 غرام,14
5906485672303 ,شامبو مضاد للفطريات 250 غرام,58
V016,حبوب ديدان,82
8594004859594 ,طارد حشرات للكلاب من 10-20 كغ,20
8594004859600 ,طارد حشرات للكلاب 20- 40 كغ,20
8594004859587 ,محلول موضعي مضاد للطفيليات للكلاب,17
8594004859624 ,محلول موضعي مضاد للطفيليات للقطط,20
V001,RABIES-V001,192
V009,علاج فطريات,69
V019,اوردير ميل 10 غرام,5
V004,تطعيم للقطط,94
V015,مضاد حيوي,473
8023222124905 ,طوق للحيوانات,45
8023222124912 ,طوق للحيوانات,8
8023222124929 ,طوق للحيوانات,17
8023222151437 ,طوق للحيوانات,6
4002064407517 ,معجون فيتامين لعلاج كرات الشعر عند القطط,0
4002064417462 ,فيتامين للقطط,0
4002064418667 ,مكمل غذائي مميز للقطط لرفع المناعة 50 غرام,0
M013,FUNGAL VACCINATION-M013,220
8009632024837 ,رول تنظيف ملابس,4
M011,PROGESTRONE MEDCIN-M011,0
4002064402109 ,فيتامين التيورين للقطط 50 غرام,0
4002064417233 ,قيتامين للقطط لنمو الشعر 50 غرام,0
4002064417240 ,فيتامين للقطط لنمو الشعر مع الجبنة 50 غرام,0
4002064417370 ,مكمل غذائي للقطط لتقليل امراض المسالك البولية,1
4002064418643 ,مكمل غذائي للقطط مميز للعناية بالشعر والجلد 50 غرام,1
4002064418650 ,مكمل غذائي مميز للقطط 50 غرام,1
4002064421124 ,فيتامين للقطط البالغه 50غرام,6
5906485672587 ,فيتامين للكلاب,0
5909997008097 ,عصارة ديدان للكلاب,4
D5,الفحص الكيميائي للدم,0
K01,SENSPET CDV-K01,-6
K01,SENSPET CDV-K01,0
K01,SENSPET CDV-K01,73
K01,SENSPET CDV-K01,96
K01,SENSPET CDV-K01,93
K01,SENSPET CDV-K01,100
K01,SENSPET CDV-K01,20
K01,SENSPET CDV-K01,110
K01,SENSPET CDV-K01,10
K01,SENSPET CDV-K01,10
K01,SENSPET CDV-K01,99
K02,SENSPET TOXO IGG/IGM-K02,0
M004,BETAMOX DROP-M004,0
K02,SENSPET TOXO IGG/IGM-K02,19
M004,BETAMOX DROP-M004,0
M004,BETAMOX DROP-M004,0
M015,مرهم عيون,7
V001,RABIES-V001,-1
V004,تطعيم للقطط,0
V004,تطعيم للقطط,-1
V005,HEXA DOG VACCINATION-V005,-1
V007,DOG VACCINATION-V007,-1
V009,علاج فطريات,0
V009,علاج فطريات,0
V015,مضاد حيوي,-2
V015,مضاد حيوي,-3
V015,مضاد حيوي,31
V015,مضاد حيوي,90
V015,مضاد حيوي,95
V015,مضاد حيوي,350
V015,مضاد حيوي,88
V016,حبوب ديدان,0
V016,حبوب ديدان,0
V019,اوردير ميل 10 غرام,3
V019,اوردير ميل 10 غرام,0
V020,دواء حشرات,0
V020,دواء حشرات,0
V021,مرهم مضاد التهاب 20 غرام,0
8009632051918 ,حفاضات للكلاب 60*60 مع اللافندر,1
8009632024844 ,رول تنظيف ملابس,2
V001,RABIES-V001,-1
M005,EYE OINTMEN NEOMYCIN-M005,10
K01,SENSPET CDV-K01,10
V010,MICRO CHIP -V010,7
8009632051925 ,حفاضات للكلاب 60*90 مع اللافندر,1
8022967052290 ,قفص للارانب,1
1212 ,جوانتي تدريب ببغاء,1
8009632037004 ,بامبرز لتعليم الكلاب,1
5436789817778 ,بيتليت,51
V005,HEXA DOG VACCINATION-V005,120
V007,DOG VACCINATION-V007,120
M009,دواء ديدان -M009,63